venture_id,name,sector,opco,revenue_model,pricing_range,basis
TECH-018-Text-to-Speech-AI,Text To Speech Ai,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: ai
TECH-019-Fraud-Prevention-AI,Fraud Prevention Ai,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: ai
TECH-020-Recommendation-Engine,Recommendation Engine,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,sector default: technology
TECH-021-Network-Security-AI,Network Security Ai,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: ai
TECH-022-Database-Optimizer,Database Optimizer,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: optimizer
TECH-023-AI-Testing-Platform,Ai Testing Platform,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: ai
TECH-024-Virtual-Assistant-Builder,Virtual Assistant Builder,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: assistant
TECH-025-Machine-Learning-Builder,Machine Learning Builder,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: builder
TECH-026-AI-Ethics-Auditor,Ai Ethics Auditor,technology,TECHNOLOGY,B2B compliance SaaS,$199-499/month per institution monitored,keyword match: audit
TECH-027-Predictive-Analytics-AI,Predictive Analytics Ai,technology,TECHNOLOGY,B2B SaaS subscription,$49-199/month per seat,keyword match: analytics
TECH-028-AI-Training-Platform,Ai Training Platform,technology,TECHNOLOGY,Course fee or subscription,$19-99 one-time or /month,keyword match: training
TECH-029-Digital-Twin-AI,Digital Twin Ai,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: ai
TECH-030-AI-Monitoring-System,Ai Monitoring System,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: ai
TECH-031-Edge-Computing-AI,Edge Computing Ai,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: ai
TECH-032-AI-Integration-Hub,Ai Integration Hub,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: ai
TECH-033-Quantum-Algorithm-AI,Quantum Algorithm Ai,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: ai
TECH-034-AI-Compliance-Scanner,Ai Compliance Scanner,technology,TECHNOLOGY,B2B compliance SaaS,$199-499/month per institution monitored,keyword match: compliance
TECH-035-Cloud-Management-AI,Cloud Management Ai,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: ai
TECH-036-Robotics-Training-AI,Robotics Training Ai,technology,TECHNOLOGY,Course fee or subscription,$19-99 one-time or /month,keyword match: training
TECH-037-Customer-Insights-AI,Customer Insights Ai,technology,TECHNOLOGY,B2B SaaS subscription,$49-199/month per seat,keyword match: insight
TECH-038-Voice-Assistant-AI,Voice Assistant Ai,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: ai
TECH-039-Blockchain-Verifier-AI,Blockchain Verifier Ai,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: ai
TECH-040-Cybersecurity-Shield,Cybersecurity Shield,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,sector default: technology
TECH-041-Content-Studio-AI,Content Studio Ai,technology,TECHNOLOGY,Ad revenue + subscription,CPM/sponsorship + $5-15/month premium tier,keyword match: content
TECH-042-Smart-Home-AI,Smart Home Ai,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: ai
TECH-043-Supply-Chain-Optimizer,Supply Chain Optimizer,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: ai
TECH-044-Data-Visualization-AI,Data Visualization Ai,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: ai
TECH-045-Workflow-Automation,Workflow Automation,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: automation
TECH-046-Sentiment-Analyzer,Sentiment Analyzer,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,sector default: technology
TECH-047-Image-Recognition-AI,Image Recognition Ai,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: ai
TECH-048-Video-Editor-AI,Video Editor Ai,technology,TECHNOLOGY,Ad revenue + subscription,CPM/sponsorship + $5-15/month premium tier,keyword match: video
TECH-049-Speech-to-Text-AI,Speech To Text Ai,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: ai
TECH-050-Text-to-Speech-AI,Text To Speech Ai,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: ai
TECH-051-Fraud-Prevention-AI,Fraud Prevention Ai,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: ai
TECH-052-Recommendation-Engine,Recommendation Engine,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,sector default: technology
TECH-053-Network-Security-AI,Network Security Ai,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: ai
TECH-054-Database-Optimizer,Database Optimizer,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: optimizer
TECH-055-AI-Testing-Platform,Ai Testing Platform,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: ai
TECH-056-Virtual-Assistant-Builder,Virtual Assistant Builder,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: assistant
TECH-057-Machine-Learning-Builder,Machine Learning Builder,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: builder
TECH-058-AI-Ethics-Auditor,Ai Ethics Auditor,technology,TECHNOLOGY,B2B compliance SaaS,$199-499/month per institution monitored,keyword match: audit
TECH-059-Predictive-Analytics-AI,Predictive Analytics Ai,technology,TECHNOLOGY,B2B SaaS subscription,$49-199/month per seat,keyword match: analytics
TECH-060-AI-Training-Platform,Ai Training Platform,technology,TECHNOLOGY,Course fee or subscription,$19-99 one-time or /month,keyword match: training
OPS-001-Fractional-CTO-Agency,Fractional Cto Agency,operations,OPERATIONS,B2B SaaS subscription,$49-199/month per seat,sector default: operations
OPS-002-Supply-Chain-Optimizer,Supply Chain Optimizer,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-003-Event-Planning-AI,Event Planning Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-004-Inventory-Management-AI,Inventory Management Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-005-Project-Management-AI,Project Management Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-006-Document-Automation-AI,Document Automation Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-007-Meeting-Assistant-AI,Meeting Assistant Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-008-Recruitment-AI,Recruitment Ai,operations,OPERATIONS,Placement fee,15-25% of first-year salary,keyword match: recruit
OPS-009-Onboarding-AI,Onboarding Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-010-Training-Platform-AI,Training Platform Ai,operations,OPERATIONS,Course fee or subscription,$19-99 one-time or /month,keyword match: training
OPS-011-Performance-Review-AI,Performance Review Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-012-IT-Support-AI,It Support Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-013-Facilities-Management-AI,Facilities Management Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-014-Travel-Booking-AI,Travel Booking Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-015-Expense-Management-AI,Expense Management Ai,operations,OPERATIONS,Subscription (accounting SaaS),$49-149 / month,keyword match: expense
OPS-016-Contract-Management-AI,Contract Management Ai,operations,OPERATIONS,Per-document fee or subscription,$29-79 / month or per-document,keyword match: contract
OPS-017-Compliance-Monitoring-AI,Compliance Monitoring Ai,operations,OPERATIONS,B2B compliance SaaS,$199-499/month per institution monitored,keyword match: compliance
OPS-018-Quality-Control-AI,Quality Control Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-019-Asset-Management-AI,Asset Management Ai,operations,OPERATIONS,AUM / management fee,0.25-1% of assets managed,keyword match: asset management
OPS-020-Time-Tracking-AI,Time Tracking Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-021-Document-Security-AI,Document Security Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-022-Knowledge-Management-AI,Knowledge Management Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-023-Meeting-Transcription-AI,Meeting Transcription Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-024-Task-Automation-AI,Task Automation Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-025-Resource-Allocation-AI,Resource Allocation Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-026-Budget-Planning-AI,Budget Planning Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-027-Cost-Optimization-AI,Cost Optimization Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-028-Procurement-AI,Procurement Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-029-Vendor-Management-AI,Vendor Management Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-030-Contract-Negotiation-AI,Contract Negotiation Ai,operations,OPERATIONS,Per-document fee or subscription,$29-79 / month or per-document,keyword match: contract
OPS-031-Legal-Document-AI,Legal Document Ai,operations,OPERATIONS,Per-document fee or subscription,$29-79 / month or per-document,keyword match: legal
OPS-032-Compliance-Reporting-AI,Compliance Reporting Ai,operations,OPERATIONS,B2B compliance SaaS,$199-499/month per institution monitored,keyword match: compliance
OPS-033-Training-Content-AI,Training Content Ai,operations,OPERATIONS,Course fee or subscription,$19-99 one-time or /month,keyword match: training
OPS-034-Employee-Engagement-AI,Employee Engagement Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-035-Succession-Planning-AI,Succession Planning Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-036-Workspace-Design-AI,Workspace Design Ai,operations,OPERATIONS,Membership / per-session fee,$29-99/month membership or per-session,keyword match: spa
OPS-037-Energy-Efficiency-AI,Energy Efficiency Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-038-Security-Monitoring-AI,Security Monitoring Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-039-Health-Safety-AI,Health Safety Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-040-Disaster-Recovery-AI,Disaster Recovery Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-041-IT-Asset-Management,It Asset Management,operations,OPERATIONS,AUM / management fee,0.25-1% of assets managed,keyword match: asset management
OPS-042-Cloud-Cost-Management,Cloud Cost Management,operations,OPERATIONS,B2B SaaS subscription,$49-199/month per seat,sector default: operations
OPS-043-Data-Governance-AI,Data Governance Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-044-Network-Monitoring-AI,Network Monitoring Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-045-Software-Licensing-AI,Software Licensing Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-046-IT-Procurement-AI,It Procurement Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-047-System-Integration-AI,System Integration Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-048-Data-Backup-AI,Data Backup Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-049-Business-Continuity-AI,Business Continuity Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-050-Compliance-Audit-AI,Compliance Audit Ai,operations,OPERATIONS,B2B compliance SaaS,$199-499/month per institution monitored,keyword match: compliance
OPS-051-Document-Collaboration-AI,Document Collaboration Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-052-Video-Conferencing-AI,Video Conferencing Ai,operations,OPERATIONS,Ad revenue + subscription,CPM/sponsorship + $5-15/month premium tier,keyword match: video
OPS-053-Email-Management-AI,Email Management Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-054-Calendar-Optimization-AI,Calendar Optimization Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-055-Project-Budget-AI,Project Budget Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-056-Resource-Forecasting-AI,Resource Forecasting Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-057-Task-Prioritization-AI,Task Prioritization Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-058-Time-Management-AI,Time Management Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-059-Meeting-Minutes-AI,Meeting Minutes Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-060-Document-Translation-AI,Document Translation Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-061-Form-Automation-AI,Form Automation Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-062-Report-Generation-AI,Report Generation Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-063-Dashboard-Creation-AI,Dashboard Creation Ai,operations,OPERATIONS,B2B SaaS subscription,$49-199/month per seat,keyword match: dashboard
OPS-064-Analytics-Platform-AI,Analytics Platform Ai,operations,OPERATIONS,B2B SaaS subscription,$49-199/month per seat,keyword match: analytics
OPS-065-Data-Cleaning-AI,Data Cleaning Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
OPS-066-Workflow-Management-AI,Workflow Management Ai,operations,OPERATIONS,Subscription SaaS,$29-99/month,keyword match: ai
EDU-001-Youth-Entrepreneurship-Curriculum,Youth Entrepreneurship Curriculum,education,EDUCATION,Course fee or subscription,$19-99 one-time or /month,sector default: education
EDU-002-AI-Literacy-Program,Ai Literacy Program,education,EDUCATION,Subscription SaaS,$29-99/month,keyword match: ai
EDU-003-Coding-Mentor-Certification,Coding Mentor Certification,education,EDUCATION,Course fee or subscription,$19-99 one-time or /month,sector default: education
EDU-004-Real-Estate-Licensing-Prep,Real Estate Licensing Prep,education,EDUCATION,Transaction commission,1-3% of transaction value,keyword match: real estate
EDU-005-Coding-Bootcamp,Coding Bootcamp,education,EDUCATION,Course fee or subscription,$19-99 one-time or /month,sector default: education
EDU-006-Homeschooling-Content-AI,Homeschooling Content Ai,education,EDUCATION,Ad revenue + subscription,CPM/sponsorship + $5-15/month premium tier,keyword match: content
EDU-007-AI-Tutoring-Platform,Ai Tutoring Platform,education,EDUCATION,Course fee or subscription,$19-99 one-time or /month,keyword match: tutor
EDU-008-Branding-Templates-Marketplace,Branding Templates Marketplace,education,EDUCATION,Marketplace take-rate,8-20% of GMV,keyword match: marketplace
EDU-009-Voiceover-Script-Library,Voiceover Script Library,education,EDUCATION,Course fee or subscription,$19-99 one-time or /month,sector default: education
EDU-010-Trade-Skills-Bootcamp,Trade Skills Bootcamp,education,EDUCATION,Course fee or subscription,$19-99 one-time or /month,sector default: education
EDU-011-Franchise-Blueprint-System,Franchise Blueprint System,education,EDUCATION,Course fee or subscription,$19-99 one-time or /month,sector default: education
EDU-012-Low-Income-Housing-Blueprint,Low Income Housing Blueprint,education,EDUCATION,Course fee or subscription,$19-99 one-time or /month,sector default: education
EDU-013-Automated-Empire-Book,Automated Empire Book,education,EDUCATION,Course fee or subscription,$19-99 one-time or /month,sector default: education
EDU-014-BIPOC-Creator-Incubator,Bipoc Creator Incubator,education,EDUCATION,Course fee or subscription,$19-99 one-time or /month,sector default: education
EDU-015-AI-Legal-Doc-Generator,Ai Legal Doc Generator,education,EDUCATION,Per-document fee or subscription,$29-79 / month or per-document,keyword match: legal
EDU-016-Virtual-Black-Art-Museum,Virtual Black Art Museum,education,EDUCATION,Course fee or subscription,$19-99 one-time or /month,sector default: education
EDU-017-AI-Coding-Tutor,Ai Coding Tutor,education,EDUCATION,Course fee or subscription,$19-99 one-time or /month,keyword match: tutor
EDU-018-Online-Course-Creator,Online Course Creator,education,EDUCATION,Course fee or subscription,$19-99 one-time or /month,keyword match: course
EDU-019-Executive-Education-Program,Executive Education Program,education,EDUCATION,Course fee or subscription,$19-99 one-time or /month,keyword match: education
EDU-020-Youth-STEM-Program,Youth Stem Program,education,EDUCATION,Course fee or subscription,$19-99 one-time or /month,sector default: education
EDU-021-Remote-Work-Certification,Remote Work Certification,education,EDUCATION,Course fee or subscription,$19-99 one-time or /month,sector default: education
EDU-022-AI-Research-Assistant,Ai Research Assistant,education,EDUCATION,Subscription SaaS,$29-99/month,keyword match: ai
EDU-023-Personal-Finance-Coach,Personal Finance Coach,education,EDUCATION,Course fee or subscription,$19-99 one-time or /month,keyword match: coach
EDU-024-Language-Learning-AI,Language Learning Ai,education,EDUCATION,Subscription SaaS,$29-99/month,keyword match: ai
EDU-025-Test-Preparation-AI,Test Preparation Ai,education,EDUCATION,Subscription SaaS,$29-99/month,keyword match: ai
EDU-026-Corporate-Training-AI,Corporate Training Ai,education,EDUCATION,Course fee or subscription,$19-99 one-time or /month,keyword match: training
EDU-027-Medical-Education-AI,Medical Education Ai,education,EDUCATION,Course fee or subscription,$19-99 one-time or /month,keyword match: education
EDU-028-Legal-Education-AI,Legal Education Ai,education,EDUCATION,Per-document fee or subscription,$29-79 / month or per-document,keyword match: legal
EDU-029-Music-Education-AI,Music Education Ai,education,EDUCATION,Course fee or subscription,$19-99 one-time or /month,keyword match: education
EDU-030-Art-Education-AI,Art Education Ai,education,EDUCATION,Course fee or subscription,$19-99 one-time or /month,keyword match: education
EDU-031-Physical-Education-AI,Physical Education Ai,education,EDUCATION,Course fee or subscription,$19-99 one-time or /month,keyword match: education
EDU-032-Environmental-Education-AI,Environmental Education Ai,education,EDUCATION,Course fee or subscription,$19-99 one-time or /month,keyword match: education
EDU-033-Social-Studies-AI,Social Studies Ai,education,EDUCATION,Subscription SaaS,$29-99/month,keyword match: ai
EDU-034-Math-Education-AI,Math Education Ai,education,EDUCATION,Course fee or subscription,$19-99 one-time or /month,keyword match: education
EDU-035-Science-Education-AI,Science Education Ai,education,EDUCATION,Course fee or subscription,$19-99 one-time or /month,keyword match: education
EDU-036-Reading-Comprehension-AI,Reading Comprehension Ai,education,EDUCATION,Subscription SaaS,$29-99/month,keyword match: ai
EDU-037-Writing-Instruction-AI,Writing Instruction Ai,education,EDUCATION,Subscription SaaS,$29-99/month,keyword match: ai
EDU-038-Critical-Thinking-AI,Critical Thinking Ai,education,EDUCATION,Subscription SaaS,$29-99/month,keyword match: ai
EDU-039-Emotional-Intelligence-AI,Emotional Intelligence Ai,education,EDUCATION,Subscription SaaS,$29-99/month,keyword match: ai
EDU-040-Time-Management-AI,Time Management Ai,education,EDUCATION,Subscription SaaS,$29-99/month,keyword match: ai
COMM-001-Luminary-Worldwide-Events,Luminary Worldwide Events,community,COMMUNITY,Membership subscription,$9-29/month,sector default: community
COMM-002-Brotherhood-Coaching-Network,Brotherhood Coaching Network,community,COMMUNITY,Course fee or subscription,$19-99 one-time or /month,keyword match: coaching
COMM-003-Ace-Senior-Care-Connect,Ace Senior Care Connect,community,COMMUNITY,Membership subscription,$9-29/month,sector default: community
COMM-004-Community-Outreach-Nonprofit,Community Outreach Nonprofit,community,COMMUNITY,Membership subscription,$9-29/month,sector default: community
COMM-005-Ace-Food-Security-AI,Ace Food Security Ai,community,COMMUNITY,Transaction commission / SaaS,2-4% per order or $49-149/month POS SaaS,keyword match: food
COMM-006-Community-Technology-Access-AI,Community Technology Access Ai,community,COMMUNITY,Subscription SaaS,$29-99/month,keyword match: ai
COMM-007-Youth-Leadership-AI,Youth Leadership Ai,community,COMMUNITY,Subscription SaaS,$29-99/month,keyword match: ai
COMM-008-Community-Fundraising-AI,Community Fundraising Ai,community,COMMUNITY,Subscription SaaS,$29-99/month,keyword match: ai
COMM-009-Volunteer-Hub-AI,Volunteer Hub Ai,community,COMMUNITY,Subscription SaaS,$29-99/month,keyword match: ai
COMM-010-Disaster-Relief-AI,Disaster Relief Ai,community,COMMUNITY,Subscription SaaS,$29-99/month,keyword match: ai
COMM-011-Indigenous-Creator-Hub,Indigenous Creator Hub,community,COMMUNITY,Subscription SaaS,$29-99/month,keyword match: hub
COMM-012-Black-Art-Museum-AI,Black Art Museum Ai,community,COMMUNITY,Subscription SaaS,$29-99/month,keyword match: ai
COMM-013-Women-s-Empowerment-Network,Women S Empowerment Network,community,COMMUNITY,Membership subscription,$9-29/month,sector default: community
COMM-014-Veterans-Support-AI,Veterans Support Ai,community,COMMUNITY,Subscription SaaS,$29-99/month,keyword match: ai
COMM-015-Youth-Mentorship-Program,Youth Mentorship Program,community,COMMUNITY,Membership subscription,$9-29/month,sector default: community
COMM-016-Community-Health-AI,Community Health Ai,community,COMMUNITY,Subscription SaaS,$29-99/month,keyword match: ai
COMM-017-Local-Business-Directory,Local Business Directory,community,COMMUNITY,Membership subscription,$9-29/month,sector default: community
COMM-018-Neighborhood-Watch-AI,Neighborhood Watch Ai,community,COMMUNITY,Subscription SaaS,$29-99/month,keyword match: ai
COMM-019-Community-Garden-AI,Community Garden Ai,community,COMMUNITY,Subscription SaaS,$29-99/month,keyword match: ai
COMM-020-Public-Transportation-AI,Public Transportation Ai,community,COMMUNITY,Per-shipment / per-route fee,"B2B SaaS, per-route or per-unit fee",keyword match: transport
COMM-021-Housing-Assistance-AI,Housing Assistance Ai,community,COMMUNITY,Subscription SaaS,$29-99/month,keyword match: ai
COMM-022-Job-Training-Center,Job Training Center,community,COMMUNITY,Course fee or subscription,$19-99 one-time or /month,keyword match: training
COMM-023-Elder-Companion-AI,Elder Companion Ai,community,COMMUNITY,Subscription SaaS,$29-99/month,keyword match: ai
COMM-024-Youth-Sports-AI,Youth Sports Ai,community,COMMUNITY,Membership subscription,$29-79/month,keyword match: sports
COMM-025-Community-Legal-Aid,Community Legal Aid,community,COMMUNITY,Per-document fee or subscription,$29-79 / month or per-document,keyword match: legal
COMM-026-Public-Education-AI,Public Education Ai,community,COMMUNITY,Course fee or subscription,$19-99 one-time or /month,keyword match: education
COMM-027-Local-Government-AI,Local Government Ai,community,COMMUNITY,Subscription SaaS,$29-99/month,keyword match: ai
COMM-028-Public-Safety-AI,Public Safety Ai,community,COMMUNITY,Subscription SaaS,$29-99/month,keyword match: ai
COMM-029-Community-Wellness-AI,Community Wellness Ai,community,COMMUNITY,Membership / per-session fee,$29-99/month membership or per-session,keyword match: wellness
COMM-030-Cultural-Exchange-AI,Cultural Exchange Ai,community,COMMUNITY,Subscription SaaS,$29-99/month,keyword match: ai
COMM-031-Community-Investment-AI,Community Investment Ai,community,COMMUNITY,AUM / management fee,0.25-1% of assets managed,keyword match: investment
COMM-032-Public-Health-AI,Public Health Ai,community,COMMUNITY,Subscription SaaS,$29-99/month,keyword match: ai
COMM-033-Youth-Innovation-Hub,Youth Innovation Hub,community,COMMUNITY,Subscription SaaS,$29-99/month,keyword match: hub
COMM-034-Senior-Tech-Support,Senior Tech Support,community,COMMUNITY,Membership subscription,$9-29/month,sector default: community
COMM-035-Community-Arts-AI,Community Arts Ai,community,COMMUNITY,Subscription SaaS,$29-99/month,keyword match: ai
COMM-036-Public-Infrastructure-AI,Public Infrastructure Ai,community,COMMUNITY,Subscription SaaS,$29-99/month,keyword match: ai
COMM-037-Neighborhood-Development-AI,Neighborhood Development Ai,community,COMMUNITY,Subscription SaaS,$29-99/month,keyword match: ai
COMM-038-Community-Policing-AI,Community Policing Ai,community,COMMUNITY,Subscription SaaS,$29-99/month,keyword match: ai
COMM-039-Public-Space-AI,Public Space Ai,community,COMMUNITY,Membership / per-session fee,$29-99/month membership or per-session,keyword match: spa
COMM-040-Community-Recycling-AI,Community Recycling Ai,community,COMMUNITY,Subscription SaaS,$29-99/month,keyword match: ai
COMM-041-Public-Wi-Fi-AI,Public Wi Fi Ai,community,COMMUNITY,Subscription SaaS,$29-99/month,keyword match: ai
COMM-042-Community-Energy-AI,Community Energy Ai,community,COMMUNITY,Subscription SaaS,$29-99/month,keyword match: ai
COMM-043-Local-Food-Network-AI,Local Food Network Ai,community,COMMUNITY,Transaction commission / SaaS,2-4% per order or $49-149/month POS SaaS,keyword match: food
COMM-044-Community-Volunteering-AI,Community Volunteering Ai,community,COMMUNITY,Subscription SaaS,$29-99/month,keyword match: ai
COMM-045-Public-Childcare-AI,Public Childcare Ai,community,COMMUNITY,Subscription SaaS,$29-99/month,keyword match: ai
COMM-046-Community-Pet-Care-AI,Community Pet Care Ai,community,COMMUNITY,Subscription SaaS,$29-99/month,keyword match: ai
COMM-047-Public-Fitness-AI,Public Fitness Ai,community,COMMUNITY,Membership subscription,$29-79/month,keyword match: fitness
COMM-048-Community-Transportation-AI,Community Transportation Ai,community,COMMUNITY,Per-shipment / per-route fee,"B2B SaaS, per-route or per-unit fee",keyword match: transport
COMM-049-Public-Event-AI,Public Event Ai,community,COMMUNITY,Subscription SaaS,$29-99/month,keyword match: ai
COMM-050-Community-Cultural-AI,Community Cultural Ai,community,COMMUNITY,Subscription SaaS,$29-99/month,keyword match: ai
EM-001-Space-Habitat-AI,Space Habitat Ai,emerging,EMERGING,Membership / per-session fee,$29-99/month membership or per-session,keyword match: spa
EM-002-Fusion-Energy-AI,Fusion Energy Ai,emerging,EMERGING,Subscription SaaS,$29-99/month,keyword match: ai
EM-003-Teleportation-Research-AI,Teleportation Research Ai,emerging,EMERGING,Subscription SaaS,$29-99/month,keyword match: ai
EM-004-Climate-Solutions-AI,Climate Solutions Ai,emerging,EMERGING,Subscription SaaS,$29-99/month,keyword match: ai
EM-005-Holographic-Events-AI,Holographic Events Ai,emerging,EMERGING,Subscription SaaS,$29-99/month,keyword match: ai
EM-006-Neurofeedback-AI,Neurofeedback Ai,emerging,EMERGING,Subscription SaaS,$29-99/month,keyword match: ai
EM-007-Autonomous-Delivery-AI,Autonomous Delivery Ai,emerging,EMERGING,Per-shipment / per-route fee,"B2B SaaS, per-route or per-unit fee",keyword match: delivery
EM-008-Gene-Editing-AI,Gene Editing Ai,emerging,EMERGING,Subscription SaaS,$29-99/month,keyword match: ai
EM-009-Space-Tourism-AI,Space Tourism Ai,emerging,EMERGING,Membership / per-session fee,$29-99/month membership or per-session,keyword match: spa
EM-010-Wearables-AI,Wearables Ai,emerging,EMERGING,Subscription SaaS,$29-99/month,keyword match: ai
EM-011-Metaverse-Hub-AI,Metaverse Hub Ai,emerging,EMERGING,Subscription SaaS,$29-99/month,keyword match: ai
EM-012-Energy-Grid-AI,Energy Grid Ai,emerging,EMERGING,Subscription SaaS,$29-99/month,keyword match: ai
EM-013-Brain-Computer-Interface,Brain Computer Interface,emerging,EMERGING,Subscription SaaS,$29-99/month,keyword match: ai
EM-014-Ocean-Cleanup-AI,Ocean Cleanup Ai,emerging,EMERGING,Subscription SaaS,$29-99/month,keyword match: ai
EM-015-Crypto-Trading-AI,Crypto Trading Ai,emerging,EMERGING,Subscription SaaS,$29-99/month,keyword match: ai
EM-016-Synthetic-Media-AI,Synthetic Media Ai,emerging,EMERGING,Ad revenue + subscription,CPM/sponsorship + $5-15/month premium tier,keyword match: media
EM-017-Space-Mining-AI,Space Mining Ai,emerging,EMERGING,Membership / per-session fee,$29-99/month membership or per-session,keyword match: spa
